place, quantity, lat, lon
Aberdeen, 1, 57.1482429, -2.0928095
Aberdeenshire, 3, 57.166667, -2.666667
Accrington, 1, 53.7541156, -2.3655434
Amble, 1, 55.3354451, -1.5809539
Ambleside, 1, 54.431954, -2.9630528
Andaluc, 1, 50.8157582, 5.66674835326837
Anglesey, 3, 53.2782273, -4.33133929345189
Angus, 1, 56.666667, -2.916667
Ayrshire, 1, 55.5, -4.5
Ballyclare, 1, 54.7525296, -6.0010911
Ballygarvin, 1, null, null
Barton, 1, 38.4683432, -98.776234
Bath, 1, 51.3813864, -2.3596963
Belfast, 2, 54.5964411, -5.9302761
Berriew, 1, 52.5994717, -3.2009082
Birmingham, 1, 52.4775396, -1.894053
Blackburn, 1, 53.7497193, -2.4797543
Bradford, 1, 53.7944229, -1.7519186
Brent, 1, 41.1136713, -80.1670051
Brentford, 1, 51.4863958, -0.3216623
Bridgend, 1, 51.55696625, -3.56409092910681
Bristol, 1, 51.4538022, -2.5972985
Brompton, 1, -34.8983219, 138.5756758
Broxtowe, 1, 52.973462, -1.26487214119107
Buckinghamshire, 2, 51.75, -0.75
Bunbury, 1, -33.3267797, 115.636698
Bury, 1, 52.2460367, 0.7125173
Camberley, , 51.3392845, -0.7460981
Cambridgeshire, 1, 52.333333, 0.083333
Cardiff, 2, 51.4816546, -3.1791934
Carlisle, 1, 54.8948478, -2.9362311
Carmarthenshire, 2, 51.8935366, -4.21648701605552
Castle, 1, 44.9243376, 8.0745443
Conwy, 1, 53.14642505, -3.75913464221729
Cornwall, 8, 50.416667, -4.75
Croydon, 1, 51.3713049, -0.101957
Derby, 1, 52.9212617, -1.4761491
Devon, 2, 50.75, -3.75
Dinnington, 1, 50.914379, -2.8495199
Dorset, 2, 50.7968346, -2.41462940554701
Dumfries, 4, 55.0699746, -3.6095639
Dumfrieshire, 1, null, null
Dunbartonshire, 1, 55.966667, -4.533333
Dundee, 1, 56.4605938, -2.97019
Edinburgh, 8, 55.9521476, -3.1889908
Ellesmere, 1, 79.6213809, -76.7739238695632
Epping, 1, 49.1129518, 7.3162243
Essex, 2, 51.7967047, 0.579338882096011
Essonne, 2, 48.53034015, 2.23929180566817
Finchley, 1, 51.5973246, -0.1805587
Flintshire, 1, 53.21729665, -3.14132083724609
Fort William, 1, 56.8178285, -5.110974
France, 8, 46.603354, 1.8883335
Gateshead, 2, 54.9585535, -1.6057003
Germany, 1, 51.0834196, 10.4234469
Glasgow, 2, 55.8611389, -4.2501672
Gloucestershire, 1, 51.8333313, -2.1666674
Grantham, 4, 52.9133829, -0.6426582
Guildford, 1, 51.2352672, -0.5653624
Gujarat, 1, 22.4134237, 71.4986740758367
Halesworth, 1, 52.3418147, 1.5001649
Hampshire, 3, 51.083333, -1.166667
Harrow, 1, 51.5967688, -0.33727515543507
Haut, 1, 50.4595991, 2.5447249
Haywards, 1, -41.1503049, 174.9786457
Helmshore, 1, 53.6887802, -2.3285811
Herefordshire, 3, 52.083333, -2.75
Hertfordshire, 1, 51.8400523, -0.0978551922452396
Inverurie, 1, 57.2838703, -2.3742165
Ipswich, 1, 52.0579495, 1.1526345
Italy, 1, 42.6384261, 12.674297
Knutsford, 1, 53.3078742, -2.3720507
Lahore, 2, 31.5656079, 74.3141775
Lanarkshire, 6, 55.5752966, -3.833333
Lancashire, 1, 53.86117155, -2.54711154031047
Larne, 1, 54.8508458, -5.8183116
Languedoc, 1, -33.8988889, 18.9658333
Leeds, 2, 53.7974185, -1.5437941
Leicester, 1, 52.6361398, -1.1330789
Lewisham, 1, 51.4624325, -0.0101331
Lincolnshire, 1, 53.166667, -0.25
Llandudno, 1, 53.322475, -3.8243251
Llanerfyl, 1, 52.67592, -3.4318807
London, 89, 51.5073219, -0.1276474
Madrid, 1, 40.4167047, -3.7035825
Maine, 1, 45.709097, -68.8590201
Manchester, 3, 53.4794892, -2.2451148
Medway, 4, 51.4157386, 0.568730851240833
Merseyside, 1, 53.4953602, -2.97393796008601
Munich, 1, 48.1371079, 11.5753822
Neath, 1, 51.6628422, -3.8039117
Newark, 1, 40.735657, -74.1723667
Newtonabbey, 1, null, null
Norfolk, 2, 52.666667, 1
Northumberland, 1, 55.25, -2.000559
Nottingham, 1, 52.9534161, -1.1492773
Nueva, 1, -46.6621119, -67.3400128016501
Oldham, 1, 53.5415797, -2.1147831
Oxfordshire, 1, 51.833333, -1.25
Pembrokeshire, 1, 51.8339209, -4.916667
Penygroes, 1, 53.0544612, -4.2746536
Plymouth, 1, 50.3712659, -4.1425658
Portugal, 2, 40.033265, -7.8896263
Reading, 1, 51.45149525, -0.983634249936538
Rochdale, 2, 53.6153659, -2.1557561
Rugby, 1, 52.3726682, -1.2620038
Ruislip, 1, 51.5775626, -0.4278453
Selby, 1, 38.0565876, -122.2438579
Shepherds Bush, 1, 51.505314, -0.2229007
Sherwood, 1, 34.8150907, -92.2243153
Solihull, 1, 52.4130189, -1.7768935
Somerset, 8, 51.083333, -3
Southampton, 11, 50.9137978, -1.39904048346365
Southwood, 3, 50.9572479, -114.0838187
St Austell, 1, 50.338466, -4.7882104
St Helens, 1, 53.4535471, -2.7343231
Stockton, 2, 37.9577016, -121.2907796
Suffolk, 1, 52.24115585, 1.0466542299927
Surrey, 7, 51.2715316, -0.341452351129091
Sussex, 5, 50.94468065, -0.06192935288129
Swale, 2, 51.3367451, 0.801369798606056
Tamworth, 1, 52.6345819, -1.6948438
Teesside, 4, 54.5659847, -1.28468847183779
Tottenham, 1, 51.5976955, -0.0672892
Wakefield, 1, 53.6825669, -1.5000466
Warrington, 10, 53.4018582, -2.5680223597163
Warwickshire, 1, 52.333333, -1.583333
Waverley, 1, 55.9522314, -3.18867390020952
Welwyn, 6, 51.8286869, -0.2141752
Westminster, 1, 51.4973206, -0.137149
Wiltshire, 6, 51.25, -1.916667
Worcestershire, 1, 52.2109495, -2.15695551324222
Worthing, 1, 50.8116902, -0.3703948
Wrexham, 1, 53.0465068, -2.9938137
York, 7, 53.9590555, -1.0815361
Yorkshire, 5, 42.5300624, -78.4727976
